Response_ID,Farm,Latitude,Longitute,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_2BxP86OzfM5yrR1,Farm 1,19.43539429,-99.1427002,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JKlJW2ebdYIo5x,Farm 1,19.3782959,-99.16210175,Don't know,No,2,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2qF65pPgWtbdd2l,Farm 1,19.32299805,-98.22409821,Permanent,Yes,30,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Agree nor disagree,Yes,Somewhat agree,Don't know,Refused,0
R_1Cjejx6WzSGTg1I,Farm 1,19.43539429,-99.1427002,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2CDE7OFie2k6zYC,Farm 1,19.30279541,-98.26059723,Permanent,Yes,30,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3scxT78Ke8czCNt,Farm 1,46.33270264,6.901702881,Permanent,Don't know,24,Somewhat Satisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3L7GaMl83fN1mlH,Farm 1,19.43539429,-99.1427002,Permanent,Yes,14,Somewhat Satisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_OJChNGSYAhfTOvf,Farm 1,19.43539429,-99.1427002,Permanent,Don't know,72,Very satisfied,Yes,Don't know,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_20SXWkmOZz8uxfB,Farm 1,19.3782959,-99.16210175,Permanent,Yes,12,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3NWbPWrihjCZugQ,Farm 1,19.30279541,-98.26059723,Seasonal OR temporary,Yes,10,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_PTW77wrnTwbcUJr,Farm 1,19.32299805,-98.22409821,Seasonal OR temporary,Yes,30,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly agree,1
R_3ezBlTmkoLn3NP4,Farm 1,46.33270264,6.901702881,Permanent,Yes,12,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_tGwnoo38m3t6zO9,Farm 1,19.3782959,-99.16210175,Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_24CB1Kj0drWoxnn,Farm 1,46.33270264,6.901702881,Permanent,Yes,48,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2qgQSDDts0DVxoe,Farm 1,19.43539429,-99.1427002,Permanent,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3LaItkaXjuBwXbI,Farm 1,19.43539429,-99.1427002,Permanent,Yes,72,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,Yes,Somewhat agree,Yes,Strongly disagree,1
R_2rNQvezNKQ3Hrfj,Farm 1,19.30279541,-98.26059723,Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2f7gbefsFhcn42V,Farm 1,19.32299805,-98.22409821,Permanent,Yes,8,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_6QEwNDMCQcDgoQ9,Farm 1,19.43539429,-99.1427002,Permanent,Yes,48,Somewhat Satisfied,Yes,Yes,Somewhat good,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,1
R_xnnyJeLcPoeRc1b,Farm 1,46.33270264,6.901702881,Permanent,Yes,29,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2w6MPH1OkZz4EFV,Farm 1,19.43539429,-99.1427002,Permanent,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_xsCWKUYe9Z3Kx6p,Farm 1,46.33270264,6.901702881,Permanent,Don't know,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_QlEgtgJasjmsxQR,Farm 1,19.30279541,-98.26059723,Permanent,Yes,32,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Xp1a2J6w9GBYBP,Farm 1,19.43539429,-99.1427002,Permanent,Yes,30,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3k1vyFH8RRCxEkh,Farm 1,19.43539429,-99.1427002,Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3IaGPUziyrNfG9B,Farm 1,19.32299805,-98.22409821,Permanent,Refused,55,Very satisfied,Yes,No,Very good,Strongly agree,No,Refused,Yes,Agree nor disagree,1
R_2zPejaF224PNNZu,Farm 1,46.33270264,6.901702881,Permanent,Yes,84,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_1poI5E4kPck7rIl,Farm 1,19.3782959,-99.16210175,Permanent,Yes,60,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_24MFLmU09OXlhd7,Farm 1,19.43539429,-99.1427002,Permanent,Yes,22,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_C7xQyDwTVrKQ62Z,Farm 1,19.43539429,-99.1427002,Permanent,Yes,24,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2AXecxvzOSvLRWz,Farm 1,19.30279541,-98.26059723,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_33xoLVbjaNqqfex,Farm 1,46.33270264,6.901702881,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Qg3nPbdaWQuHrz,Farm 1,19.3782959,-99.16210175,Permanent,Yes,48,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3LYYEkmHv3ex4XJ,Farm 1,19.32299805,-98.22409821,Seasonal OR temporary,Yes,33,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Somewhat disagree,1
R_1MNdXVBsKCEXzmg,Farm 1,19.43539429,-99.1427002,Permanent,Yes,18,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3syvz34lncNru1l,Farm 1,19.43539429,-99.1427002,Permanent,Yes,12,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,1
R_A4ActswGkmrRBDz,Farm 1,46.33270264,6.901702881,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1IblsT9Qi5EXdMB,Farm 1,19.3782959,-99.16210175,Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2uDq7TUh2EaXOF3,Farm 1,19.43539429,-99.1427002,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_31ZePKoH4rD213q,Farm 1,19.43539429,-99.1427002,Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3ek3EmFHMhTiivc,Farm 1,19.30279541,-98.26059723,Permanent,Yes,63,Neither satisfied nor dissatisfied,Yes,No,Somewhat bad,Somewhat disagree,No,Strongly Agree,Yes,Strongly disagree,0
R_1rDH85aZWkXP7qT,Farm 1,46.33270264,6.901702881,Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_21okY5mXQUM38NQ,Farm 1,19.3782959,-99.16210175,Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2WZvi79vnBx2Q41,Farm 1,19.32299805,-98.22409821,Permanent,Yes,69,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_3IQyKcranMP7vA9,Farm 1,19.43539429,-99.1427002,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_cOWKkzILsOHPxiV,Farm 1,19.30279541,-98.26059723,Seasonal OR temporary,Yes,15,Very satisfied,Yes,Yes,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_296LKsIxOwSj9cN,Farm 1,19.32299805,-98.22409821,Permanent,Yes,24,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_1LckwOa3KDfPmHu,Farm 1,19.30279541,-98.26059723,Seasonal OR temporary,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_114u7A8KAwzLCEm,Farm 1,19.30279541,-98.26059723,Permanent,Yes,35,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_8Iy7hxGXRkGEluV,Farm 1,46.33270264,6.901702881,Permanent,Yes,15,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3L1fp5BrnlSzBwR,Farm 1,19.3782959,-99.16210175,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_29htgDRlyznCRhr,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3elCEjWGTetp2hh,Farm 1,19.32299805,-98.22409821,Permanent,Yes,4,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,No,Strongly Agree,Yes,Refused,1
R_1fdOdSyjg1WUstK,Farm 1,19.43539429,-99.1427002,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2eQYL2Zh3K7YEa2,Farm 1,19.30279541,-98.26059723,Permanent,Yes,27,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1iep9GIv8b9P6um,Farm 1,19.3782959,-99.16210175,Permanent,Yes,10,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_29cTU5tt5Ju5Gu8,Farm 1,46.33270264,6.901702881,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3PaBJ2fUBpZS2hI,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_Q4gMoR8DlQrFXIR,Farm 1,19.43539429,-99.1427002,Permanent,Yes,5,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_07JbBXwvBB9x5zX,Farm 1,19.30279541,-98.26059723,Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1mmFtXZh6e4kR8M,Farm 1,19.32299805,-98.22409821,Seasonal OR temporary,Yes,5,Somewhat Satisfied,Yes,No,Very good,Strongly agree,Yes,Somewhat agree,Yes,Agree nor disagree,1
R_10UdSiXnpDVvk0k,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_T14JVxVY3hLzv69,Farm 1,19.3782959,-99.16210175,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_2uDtLS9tUBZKYGS,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,No,1,Somewhat dissatisfied,No,No,Somewhat bad,Somewhat disagree,No,Agree nor disagree,Don't know,Strongly disagree,0
R_1kLnQc6FmDlkbi0,Farm 1,19.30279541,-98.26059723,Permanent,Don't know,123,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27WOv1vhaeqpxeT,Farm 1,19.32299805,-98.22409821,Permanent,Yes,16,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2s7PbjY2OmwP1zK,Farm 1,46.33270264,6.901702881,Permanent,No,8,Somewhat Satisfied,Don't know,No,Neither good or bad,Agree nor disagree,No,Somewhat agree,Yes,Strongly disagree,1
R_2PAugWfX3Juh16h,Farm 1,19.30279541,-98.26059723,Permanent,Yes,74,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3Q0nLxXCk4spCAs,Farm 1,19.3782959,-99.16210175,Don't know,Yes,2,Somewhat Satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_10YruvEVjshLta7,Farm 1,19.43539429,-99.1427002,Permanent,Yes,48,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_ylrV1zju2qV6y9r,Farm 1,46.33270264,6.901702881,Seasonal OR temporary,No,24,Somewhat dissatisfied,No,No,Neither good or bad,Somewhat disagree,No,Strongly disagree,Don't know,Strongly agree,1
R_3n5evj6H49riOlj,Farm 1,19.43539429,-99.1427002,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2an331KKUDlVX8T,Farm 1,19.30279541,-98.26059723,Permanent,Yes,5,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_20MPFKlt7nKuK1P,Farm 1,19.32299805,-98.22409821,Permanent,Yes,16,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_22FfgZ2c5Qyt8XM,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,1
R_1kS8qOvn9EyOMsS,Farm 1,19.3782959,-99.16210175,Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1ohjrTVSYo1AhqX,Farm 1,46.33270264,6.901702881,Permanent,Yes,11,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1JDSZCaobS7Axhb,Farm 1,19.43539429,-99.1427002,Permanent,Yes,66,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_31ZrffTPIOf6V74,Farm 1,19.30279541,-98.26059723,Permanent,Yes,10,Very satisfied,Yes,Don't know,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,1
R_2ric8SZL7ngSG4x,Farm 1,46.33270264,6.901702881,Permanent,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3fGKouZSQ8z5BCB,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,36,Neither satisfied nor dissatisfied,Don't know,No,Somewhat good,Agree nor disagree,Yes,Agree nor disagree,Yes,Strongly disagree,1
R_1jUsWC7RlOPTTV0,Farm 1,19.3782959,-99.16210175,Permanent,Yes,36,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_cU78wbIvJ6E7UhH,Farm 1,19.32299805,-98.22409821,Permanent,Yes,40,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_RsP8FUce6bPYtvb,Farm 1,19.30279541,-98.26059723,Permanent,Yes,11,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3HODN9dYIrfrbkV,Farm 1,46.33270264,6.901702881,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_yQLqrbTdrUwZVxT,Farm 1,19.3782959,-99.16210175,Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Yr1dNFivgk5xjw,Farm 1,19.43539429,-99.1427002,Permanent,Yes,37,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_NWsXPxRYLgaHyN3,Farm 1,46.33270264,6.901702881,Seasonal OR temporary,Yes,9,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_xEqDNOLiEXbjbHz,Farm 1,19.32299805,-98.22409821,Permanent,Yes,22,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1rHQPbnkRZ2YmCu,Farm 1,19.30279541,-98.26059723,Permanent,Yes,9,Very satisfied,Yes,No,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Agree nor disagree,1
R_brrjwQK6gUoj9i9,Farm 1,19.3782959,-99.16210175,Permanent,Yes,8,Very satisfied,Yes,Don't know,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_Ahtd32nJFpk07uN,Farm 1,19.43539429,-99.1427002,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,0
R_DJlarxyehOlSwyl,Farm 1,19.3782959,-99.16210175,Seasonal OR temporary,Yes,12,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1guTwTsg9llcClH,Farm 1,46.33270264,6.901702881,Permanent,Don't know,24,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_Zk4TG36ArjqpK25,Farm 1,19.43539429,-99.1427002,Permanent,No,132,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1gpSJIOfHPYySST,Farm 1,19.30279541,-98.26059723,Permanent,Yes,109,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_bkYsu6oNOZVoc8x,Farm 1,19.3782959,-99.16210175,Permanent,Yes,48,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Somewhat agree,Yes,Somewhat disagree,1
R_AaDYWxdX0FWnIPv,Farm 1,19.43539429,-99.1427002,Permanent,Yes,8,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1OjfTkFvcNhNpiQ,Farm 1,19.32299805,-98.22409821,Permanent,Yes,46,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1d05Xc1FDHIW0BT,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JlxDHmZVDhmKwZ,Farm 1,19.30279541,-98.26059723,Permanent,Yes,171,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_2XhpIpEDlY0bndU,Farm 1,46.33270264,6.901702881,Permanent,Yes,24,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,No,Strongly disagree,0
R_9ylDxTVmcZIfSwN,Farm 1,19.43539429,-99.1427002,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1PbeaO2DUsC2gXY,Farm 1,19.30279541,-98.26059723,Permanent,Yes,7,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3nVmbM2bazwda6W,Farm 1,19.43539429,-99.1427002,Permanent,Yes,24,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2tAnxopGDzWqZN3,Farm 1,46.33270264,6.901702881,Permanent,Yes,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3IaFjsHyvK47hQp,Farm 1,19.43539429,-99.1427002,Permanent,Yes,8,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_272LMthElD6XJm5,Farm 1,19.32299805,-98.22409821,Permanent,Yes,46,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,0
R_1eKvDAoH0du6QlR,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1OH2LKMBjT174wL,Farm 1,19.43539429,-99.1427002,Permanent,Yes,4,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2QEAsNfoRePxbMm,Farm 1,19.43539429,-99.1427002,Permanent,Yes,3,Very satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_31dvQnI6T08vM7X,Farm 1,19.32299805,-98.22409821,Seasonal OR temporary,No,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_23VNnmLlAamKKoR,Farm 1,19.43539429,-99.1427002,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2v7ZCokgLGRbTNC,Farm 1,19.43539429,-99.1427002,Permanent,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_22YpQ01zU3O2t3b,Farm 1,19.30279541,-98.26059723,Permanent,Don't know,120,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2UbBpsSwCqt9hM7,Farm 1,19.32299805,-98.22409821,Permanent,Yes,109,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,0
R_xnK7X3DNA7LH3ln,Farm 1,19.43539429,-99.1427002,Permanent,Yes,12,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1rCuTSORNIkKljV,Farm 1,19.43539429,-99.1427002,Permanent,Yes,60,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_3suXcqzqZCGpbiK,Farm 1,46.33270264,6.901702881,Permanent,Yes,48,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27HA1jq1rR7Jylq,Farm 1,19.3782959,-99.16210175,Permanent,Yes,84,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1gnl3OukVsdp36N,Farm 1,19.30279541,-98.26059723,Seasonal OR temporary,Yes,1,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2fHttf8kbtVfJa8,Farm 1,19.32299805,-98.22409821,Permanent,Yes,121,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
