Survey Number,Response ID,ch_account_name,gender_core,gender_core,age_core,education_level_core,education_level_core,worker_type_core,worker_type_core,understand_contract,understand_contract,entity_tenure - Years,entity_tenure - Months,total_tenure_months,workplace_satis_core,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,conditions_rate_core,safety_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,pressure_to_work_core,factory_recommend_tf_core
Survey 2,R_2Xp1a2J6w9GBYBP,Farm 1,Man,0,23,High School,High School,Permanent,1,Yes,0,2,6,30,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_3k1vyFH8RRCxEkh,Farm 1,Man,0,29,Middle School,Middle School,Permanent,1,Yes,0,5,6,66,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3IaGPUziyrNfG9B,Farm 1,Woman,1,42,Middle School,Middle School,Permanent,1,Refused,Refused,4,7,55,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Refused,Refused,Yes,Agree nor disagree,2,Promoter 
Survey 2,R_2zPejaF224PNNZu,Farm 1,Man,0,28,High School,High School,Permanent,1,Yes,0,7,0,84,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,Yes,1 occasion,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_1poI5E4kPck7rIl,Farm 1,Woman,1,33,Elementary School,Elementary School,Permanent,1,Yes,0,5,0,60,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_24MFLmU09OXlhd7,Farm 1,Woman,1,29,Middle School,Middle School,Permanent,1,Yes,0,1,10,22,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_C7xQyDwTVrKQ62Z,Farm 1,Woman,1,38,Middle School,Middle School,Permanent,1,Yes,0,2,0,24,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_2AXecxvzOSvLRWz,Farm 1,Man,0,46,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,3,3,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_33xoLVbjaNqqfex,Farm 1,Man,0,52,Elementary School,Elementary School,Permanent,1,Yes,0,3,0,36,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_2Qg3nPbdaWQuHrz,Farm 1,Man,0,46,Elementary School,Elementary School,Permanent,1,Yes,0,4,0,48,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3LYYEkmHv3ex4XJ,Farm 1,Man,0,39,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,2,9,33,Very satisfied,4,Yes,No,Very good,4,Somewhat agree,3,No,,Strongly Agree,4,Yes,Somewhat disagree,1,Promoter 
Survey 2,R_1MNdXVBsKCEXzmg,Farm 1,Woman,1,22,Middle School,Middle School,Permanent,1,Yes,0,1,6,18,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3syvz34lncNru1l,Farm 1,Woman,1,25,High School,High School,Permanent,1,Yes,0,1,0,12,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Agree nor disagree,2,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_A4ActswGkmrRBDz,Farm 1,Woman,1,37,No school,No school,Permanent,1,Yes,0,3,0,36,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_1IblsT9Qi5EXdMB,Farm 1,Woman,1,31,Middle School,Middle School,Permanent,1,Yes,0,3,0,36,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_2uDq7TUh2EaXOF3,Farm 1,Woman,1,22,High School,High School,Permanent,1,Yes,0,3,0,36,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_31ZePKoH4rD213q,Farm 1,Woman,1,30,Middle School,Middle School,Permanent,1,Yes,0,5,0,60,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3ek3EmFHMhTiivc,Farm 1,Woman,1,33,Elementary School,Elementary School,Permanent,1,Yes,0,5,3,63,Neither satisfied nor dissatisfied,2,Yes,No,Somewhat bad,1,Somewhat disagree,1,No,,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_1rDH85aZWkXP7qT,Farm 1,Man,0,25,High School,High School,Permanent,1,Yes,0,2,0,24,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_21okY5mXQUM38NQ,Farm 1,Woman,1,30,Middle School,Middle School,Permanent,1,Yes,0,4,0,48,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2WZvi79vnBx2Q41,Farm 1,Man,0,30,No school,No school,Permanent,1,Yes,0,5,9,69,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_3IQyKcranMP7vA9,Farm 1,Woman,1,32,Middle School,Middle School,Permanent,1,Yes,0,0,8,8,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_cOWKkzILsOHPxiV,Farm 1,Woman,1,20,High School,High School,Seasonal OR temporary,1,Yes,0,1,3,15,Very satisfied,4,Yes,Yes,Very good,4,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_296LKsIxOwSj9cN,Farm 1,Woman,1,37,Middle School,Middle School,Permanent,1,Yes,0,1,12,24,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_1LckwOa3KDfPmHu,Farm 1,Man,0,41,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,2,6,30,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_114u7A8KAwzLCEm,Farm 1,Woman,1,50,Middle School,Middle School,Permanent,1,Yes,0,2,11,35,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_8Iy7hxGXRkGEluV,Farm 1,Woman,1,48,Elementary School,Elementary School,Permanent,1,Yes,0,1,3,15,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3L1fp5BrnlSzBwR,Farm 1,Man,0,21,Middle School,Middle School,Permanent,1,Yes,0,1,0,12,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_29htgDRlyznCRhr,Farm 1,Man,0,26,High School,High School,Seasonal OR temporary,1,Yes,0,0,3,3,Very satisfied,4,Yes,Don't know,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3elCEjWGTetp2hh,Farm 1,Man,0,26,Middle School,Middle School,Permanent,1,Yes,0,0,4,4,Very satisfied,4,Yes,No,Neither good or bad,2,Somewhat agree,3,No,,Strongly Agree,4,Yes,Refused,Refused,Promoter 
Survey 2,R_1fdOdSyjg1WUstK,Farm 1,Woman,1,26,Middle School,Middle School,Permanent,1,Yes,0,3,0,36,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2eQYL2Zh3K7YEa2,Farm 1,Woman,1,51,Middle School,Middle School,Permanent,1,Yes,0,2,3,27,Very satisfied,4,Yes,Don't know,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_1iep9GIv8b9P6um,Farm 1,Woman,1,47,Elementary School,Elementary School,Permanent,1,Yes,0,0,10,10,Very satisfied,4,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_29cTU5tt5Ju5Gu8,Farm 1,Woman,1,55,Middle School,Middle School,Permanent,1,Yes,0,3,0,36,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3PaBJ2fUBpZS2hI,Farm 1,Man,0,31,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,7,7,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_Q4gMoR8DlQrFXIR,Farm 1,Man,0,25,Middle School,Middle School,Permanent,1,Yes,0,0,5,5,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_07JbBXwvBB9x5zX,Farm 1,Man,0,27,Elementary School,Elementary School,Permanent,1,Yes,0,5,6,66,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1mmFtXZh6e4kR8M,Farm 1,Man,0,19,High School,High School,Seasonal OR temporary,1,Yes,0,0,5,5,Somewhat Satisfied,3,Yes,No,Very good,4,Strongly agree,4,Yes,Never sustained an injury while at this job,Somewhat agree,3,Yes,Agree nor disagree,2,Promoter 
Survey 2,R_10UdSiXnpDVvk0k,Farm 1,Man,0,32,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,10,10,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Somewhat agree,3,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter
Survey 2,R_T14JVxVY3hLzv69,Farm 1,Man,0,58,Elementary School,Elementary School,Permanent,1,Yes,0,0,8,8,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,Yes,1 occasion,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2uDtLS9tUBZKYGS,Farm 1,Man,0,34,Middle School,Middle School,Seasonal OR temporary,1,No,1,0,1,1,Somewhat dissatisfied,1,No,No,Somewhat bad,1,Somewhat disagree,1,No,,Agree nor disagree,2,Don't know,Strongly disagree,0,Demoter
Survey 2,R_1kLnQc6FmDlkbi0,Farm 1,Woman,1,52,No school,No school,Permanent,1,Don't know,Don't know,10,3,123,Very satisfied,4,Yes,Don't know,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_27WOv1vhaeqpxeT,Farm 1,Man,0,26,Elementary School,Elementary School,Permanent,1,Yes,0,1,4,16,Very satisfied,4,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2s7PbjY2OmwP1zK,Farm 1,Man,0,34,Middle School,Middle School,Permanent,1,No,1,0,8,8,Somewhat Satisfied,3,Don't know,No,Neither good or bad,2,Agree nor disagree,2,No,,Somewhat agree,3,Yes,Strongly disagree,0,Neutral
Survey 2,R_2PAugWfX3Juh16h,Farm 1,Woman,1,38,Elementary School,Elementary School,Permanent,1,Yes,0,6,2,74,Neither satisfied nor dissatisfied,2,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_3Q0nLxXCk4spCAs,Farm 1,Man,0,29,Middle School,Middle School,Don't know,Don't know,Yes,0,0,2,2,Somewhat Satisfied,3,Yes,No,Very good,4,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_10YruvEVjshLta7,Farm 1,Man,0,50,Elementary School,Elementary School,Permanent,1,Yes,0,4,0,48,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_ylrV1zju2qV6y9r,Farm 1,Man,0,44,Middle School,Middle School,Seasonal OR temporary,1,No,1,,24,24,Somewhat dissatisfied,1,No,No,Neither good or bad,2,Somewhat disagree,1,No,,Strongly disagree,0,Don't know,Strongly agree,4,Demoter
Survey 2,R_3n5evj6H49riOlj,Farm 1,Woman,1,33,High School,High School,Permanent,1,Yes,0,1,0,12,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_2an331KKUDlVX8T,Farm 1,Man,0,19,Middle School,Middle School,Permanent,1,Yes,0,0,5,5,Very satisfied,4,Yes,Don't know,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_20MPFKlt7nKuK1P,Farm 1,Man,0,19,Middle School,Middle School,Permanent,1,Yes,0,1,4,16,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_22FfgZ2c5Qyt8XM,Farm 1,Woman,1,58,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,2,2,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Somewhat agree,3,Promoter 
Survey 2,R_1kS8qOvn9EyOMsS,Farm 1,Man,0,33,Middle School,Middle School,Permanent,1,Yes,0,2,6,30,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_1ohjrTVSYo1AhqX,Farm 1,Woman,1,22,Middle School,Middle School,Permanent,1,Yes,0,0,11,11,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1JDSZCaobS7Axhb,Farm 1,Woman,1,36,Middle School,Middle School,Permanent,1,Yes,0,5,6,66,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Neutral
Survey 2,R_31ZrffTPIOf6V74,Farm 1,Man,0,24,Middle School,Middle School,Permanent,1,Yes,0,0,10,10,Very satisfied,4,Yes,Don't know,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Agree nor disagree,2,Neutral
Survey 2,R_2ric8SZL7ngSG4x,Farm 1,Man,0,21,High School,High School,Permanent,1,Yes,0,0,10,10,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3fGKouZSQ8z5BCB,Farm 1,Man,0,28,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,3,0,36,Neither satisfied nor dissatisfied,2,Don't know,No,Somewhat good,3,Agree nor disagree,2,Yes,1 occasion,Agree nor disagree,2,Yes,Strongly disagree,0,Neutral
Survey 2,R_1jUsWC7RlOPTTV0,Farm 1,Man,0,31,Elementary School,Elementary School,Permanent,1,Yes,0,3,0,36,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_cU78wbIvJ6E7UhH,Farm 1,Man,0,32,Middle School,Middle School,Permanent,1,Yes,0,3,4,40,Neither satisfied nor dissatisfied,2,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_RsP8FUce6bPYtvb,Farm 1,Man,0,21,Middle School,Middle School,Permanent,1,Yes,0,0,11,11,Very satisfied,4,Yes,Don't know,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3HODN9dYIrfrbkV,Farm 1,Man,0,59,No school,No school,Permanent,1,Yes,0,3,0,36,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_yQLqrbTdrUwZVxT,Farm 1,Man,0,32,Middle School,Middle School,Permanent,1,Yes,0,2,6,30,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2Yr1dNFivgk5xjw,Farm 1,Woman,1,52,Elementary School,Elementary School,Permanent,1,Yes,0,3,1,37,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,Yes,Don't Know,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
